Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","66","Fiji","5110","Area","6600","Country area","2018","2018","1000 ha","1827","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","66","Fiji","5110","Area","6610","Agricultural land","2018","2018","1000 ha","425","Fm","Manual Estimation"
"RL","Land Use","67","Finland","5110","Area","6600","Country area","2018","2018","1000 ha","33845","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","67","Finland","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2272","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","68","France","5110","Area","6600","Country area","2018","2018","1000 ha","54908.7","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","68","France","5110","Area","6610","Agricultural land","2018","2018","1000 ha","28660.1","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","69","French Guyana","5110","Area","6600","Country area","2018","2018","1000 ha","8360","Fm","Manual Estimation"
"RL","Land Use","69","French Guyana","5110","Area","6610","Agricultural land","2018","2018","1000 ha","32.52","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","70","French Polynesia","5110","Area","6600","Country area","2018","2018","1000 ha","400","Fm","Manual Estimation"
"RL","Land Use","70","French Polynesia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","45.5","Fm","Manual Estimation"
"RL","Land Use","74","Gabon","5110","Area","6600","Country area","2018","2018","1000 ha","26767","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","74","Gabon","5110","Area","6610","Agricultural land","2018","2018","1000 ha","2212.64","Fc","Calculated data"
"RL","Land Use","75","Gambia","5110","Area","6600","Country area","2018","2018","1000 ha","1130","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","75","Gambia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","605","Fm","Manual Estimation"
